model,probability_source,method,severity,coverage,abstention_rate,selective_risk,retained_count,malignant_recall_retained,benign_recall_retained
logistic,raw,none,1.5,1.0,0.0,0.03508771929824561,114.0,0.9523809523809523,0.9722222222222222
logistic,calibrated,none,1.5,1.0,0.0,0.03508771929824561,114.0,0.9523809523809523,0.9722222222222222
logistic,raw,threshold_0.8,1.5,0.9122807017543859,0.08771929824561403,0.009615384615384616,104.0,0.975,1.0
logistic,calibrated,threshold_0.8,1.5,0.9473684210526315,0.05263157894736842,0.009259259259259259,108.0,0.975609756097561,1.0
logistic,raw,split_conformal_alpha_0.1,1.5,0.8859649122807017,0.11403508771929824,0.009900990099009901,101.0,0.9743589743589743,1.0
logistic,calibrated,split_conformal_alpha_0.1,1.5,0.8859649122807017,0.11403508771929824,0.009900990099009901,101.0,0.9743589743589743,1.0
logistic,raw,learned_target_coverage_0.9,1.5,0.7982456140350878,0.20175438596491227,0.0,91.0,1.0,1.0
logistic,calibrated,learned_target_coverage_0.9,1.5,0.8070175438596491,0.19298245614035087,0.0,92.0,1.0,1.0
neural_net,raw,none,1.5,1.0,0.0,0.02631578947368421,114.0,0.9523809523809523,0.9861111111111112
neural_net,calibrated,none,1.5,1.0,0.0,0.02631578947368421,114.0,0.9523809523809523,0.9861111111111112
neural_net,raw,threshold_0.8,1.5,0.9649122807017544,0.03508771929824561,0.01818181818181818,110.0,0.975609756097561,0.9855072463768116
neural_net,calibrated,threshold_0.8,1.5,0.9473684210526315,0.05263157894736842,0.018518518518518517,108.0,0.975609756097561,0.9850746268656716
neural_net,raw,split_conformal_alpha_0.1,1.5,0.9122807017543859,0.08771929824561403,0.009615384615384616,104.0,0.975609756097561,1.0
neural_net,calibrated,split_conformal_alpha_0.1,1.5,0.9122807017543859,0.08771929824561403,0.009615384615384616,104.0,0.975609756097561,1.0
neural_net,raw,learned_target_coverage_0.9,1.5,0.8245614035087719,0.17543859649122806,0.010638297872340425,94.0,0.975609756097561,1.0
neural_net,calibrated,learned_target_coverage_0.9,1.5,0.8333333333333334,0.16666666666666666,0.010526315789473684,95.0,0.975609756097561,1.0
